DATE,CPI
2022:10,298.0 
2022:11,298.6 
2022:12,299.0 
2023:01,300.5 
2023:02,301.6 
2023:03,301.8 
2023:04,302.9 
2023:05,303.3 
2023:06,303.8 
2023:07,304.3 
2023:08,306.3 
2023:09,307.5 
2023:10,307.6 
2023:11,307.9 
2023:12,308.9 
